Filename,Class Name,Substructure,Status
subsOlefinAlphaHydroPeroxyC5.sdf,c=ccoohcc(X)(XX)(XX),c=ccoohcc(h)(rr)(hh),UNIQUE
subsOlefinAlphaHydroPeroxyC5.sdf,c=ccoohcc(X)(XX)(XX),c=ccoohcc(r)(rr)(hh),UNIQUE
subsOlefinAlphaHydroPeroxyC5.sdf,c=ccoohcc(X)(XX)(XX),c=ccoohcc(h)(hh)(rh),UNIQUE
subsOlefinAlphaHydroPeroxyC5.sdf,c=ccoohcc(X)(XX)(XX),c=ccoohcc(r)(hh)(rh),UNIQUE
subsOlefinAlphaHydroPeroxyC5.sdf,c=ccoohcc(X)(XX)(XX),c=ccoohcc(h)(rh)(rh),UNIQUE
subsOlefinAlphaHydroPeroxyC5.sdf,c=ccoohcc(X)(XX)(XX),c=ccoohcc(r)(rh)(rh),UNIQUE
subsOlefinAlphaHydroPeroxyC5.sdf,c=ccoohcc(X)(XX)(XX),c=ccoohcc(h)(rr)(rh),UNIQUE
subsOlefinAlphaHydroPeroxyC5.sdf,c=ccoohcc(X)(XX)(XX),c=ccoohcc(r)(rr)(rh),UNIQUE
subsOlefinAlphaHydroPeroxyC5.sdf,c=ccoohcc(X)(XX)(XX),c=ccoohcc(h)(hh)(rr),UNIQUE
subsOlefinAlphaHydroPeroxyC5.sdf,c=ccoohcc(X)(XX)(XX),c=ccoohcc(r)(hh)(rr),UNIQUE
subsOlefinAlphaHydroPeroxyC5.sdf,c=ccoohcc(X)(XX)(XX),c=ccoohcc(h)(rh)(rr),UNIQUE
subsOlefinAlphaHydroPeroxyC5.sdf,c=ccoohcc(X)(XX)(XX),c=ccoohcc(r)(rh)(rr),UNIQUE
subsOlefinAlphaHydroPeroxyC5.sdf,c=ccoohcc(X)(XX)(XX),c=ccoohcc(h)(rr)(rr),UNIQUE
subsOlefinAlphaHydroPeroxyC5.sdf,c=ccoohcc(X)(XX)(XX),c=ccoohcc(r)(rr)(rr),UNIQUE
subsOlefinAlphaHydroPeroxyC6.sdf,c=ccoohccc(X)(XX),c=ccoohccc(h)(hh),DUPLICATE
subsOlefinAlphaHydroPeroxyC6.sdf,c=ccoohccc(X)(XX),c=ccoohccc(r)(hh),DUPLICATE
subsOlefinAlphaHydroPeroxyC6.sdf,c=ccoohccc(X)(XX),c=ccoohccc(h)(rh),DUPLICATE
subsOlefinAlphaHydroPeroxyC6.sdf,c=ccoohccc(X)(XX),c=ccoohccc(r)(rh),DUPLICATE
subsOlefinAlphaHydroPeroxyC6.sdf,c=ccoohccc(X)(XX),c=ccoohccc(h)(rr),DUPLICATE
subsOlefinAlphaHydroPeroxyC6.sdf,c=ccoohccc(X)(XX),c=ccoohccc(r)(rr),DUPLICATE
subsOlefinAlphaHydroPeroxyC6.sdf,c=ccoohccc(X)(XX),c=ccoohccc(h)(rr),DUPLICATE
subsOlefinAlphaHydroPeroxyC6.sdf,c=ccoohccc(X)(XX),c=ccoohccc(r)(rr),DUPLICATE
subsOlefinAlphaHydroPeroxyC7.sdf,c=ccoohcccc(X)(XX),c=ccoohcccc(h)(hh),UNIQUE
subsOlefinAlphaHydroPeroxyC7.sdf,c=ccoohcccc(X)(XX),c=ccoohcccc(r)(hh),UNIQUE
subsOlefinAlphaHydroPeroxyC7.sdf,c=ccoohcccc(X)(XX),c=ccoohcccc(h)(rh),UNIQUE
subsOlefinAlphaHydroPeroxyC7.sdf,c=ccoohcccc(X)(XX),c=ccoohcccc(r)(rh),UNIQUE
subsOlefinAlphaHydroPeroxyC7.sdf,c=ccoohcccc(X)(XX),c=ccoohcccc(h)(rr),UNIQUE
subsOlefinAlphaHydroPeroxyC7.sdf,c=ccoohcccc(X)(XX),c=ccoohcccc(r)(rr),UNIQUE
subsOlefinAlphaHydroPeroxyGammaKetone.sdf,c=ccoohcco(X)(XX)(X),c=ccoohcco(h)(hh)(h),UNIQUE
subsOlefinAlphaHydroPeroxyGammaKetone.sdf,c=ccoohcco(X)(XX)(X),c=ccoohcco(r)(hh)(h),UNIQUE
subsOlefinAlphaHydroPeroxyGammaKetone.sdf,c=ccoohcco(X)(XX)(X),c=ccoohcco(h)(rh)(h),UNIQUE
subsOlefinAlphaHydroPeroxyGammaKetone.sdf,c=ccoohcco(X)(XX)(X),c=ccoohcco(r)(rh)(h),UNIQUE
subsOlefinAlphaHydroPeroxyGammaKetone.sdf,c=ccoohcco(X)(XX)(X),c=ccoohcco(h)(rr)(h),UNIQUE
subsOlefinAlphaHydroPeroxyGammaKetone.sdf,c=ccoohcco(X)(XX)(X),c=ccoohcco(r)(rr)(h),UNIQUE
subsOlefinAlphaHydroPeroxyGammaKetone.sdf,c=ccoohcco(X)(XX)(X),c=ccoohcco(h)(hh)(r),UNIQUE
subsOlefinAlphaHydroPeroxyGammaKetone.sdf,c=ccoohcco(X)(XX)(X),c=ccoohcco(r)(hh)(r),UNIQUE
subsOlefinAlphaHydroPeroxyGammaKetone.sdf,c=ccoohcco(X)(XX)(X),c=ccoohcco(h)(rh)(r),UNIQUE
subsOlefinAlphaHydroPeroxyGammaKetone.sdf,c=ccoohcco(X)(XX)(X),c=ccoohcco(r)(rh)(r),UNIQUE
subsOlefinAlphaHydroPeroxyGammaKetone.sdf,c=ccoohcco(X)(XX)(X),c=ccoohcco(h)(rr)(r),UNIQUE
subsOlefinAlphaHydroPeroxyGammaKetone.sdf,c=ccoohcco(X)(XX)(X),c=ccoohcco(r)(rr)(r),UNIQUE
subsOlefinAlphaHydroPeroxyBetaKetone.sdf,c=ccoohco(X)(X),c=ccoohco(h)(h),UNIQUE
subsOlefinAlphaHydroPeroxyBetaKetone.sdf,c=ccoohco(X)(X),c=ccoohco(r)(h),UNIQUE
subsOlefinAlphaHydroPeroxyBetaKetone.sdf,c=ccoohco(X)(X),c=ccoohco(h)(r),UNIQUE
subsOlefinAlphaHydroPeroxyBetaKetone.sdf,c=ccoohco(X)(X),c=ccoohco(r)(r),UNIQUE
subsMolecules2.sdf,carbondioxide,carbondioxide,UNIQUE
subsMolecules.sdf,carbonmonoxide,carbonmonoxide,UNIQUE
subsAldPeroxyLong.sdf,ccccco,ccccco,UNIQUE
subsAldPeroxyLong.sdf,cccco,cccco,UNIQUE
subsAldPeroxyLong.sdf,ccco,ccco,UNIQUE
